	(1)	(2)	(3)	(4)	(5)
VARIABLES	No Controls	Months from First Publication	Months Exp	Pubs Exp	All Controls
					
time24_0	-0.257***		-0.257***	-0.257***	
	(0.0519)		(0.0519)	(0.0519)	
time24_1	-0.273***	-0.0299	-0.273***	-0.273***	-0.0299
	(0.0538)	(0.0384)	(0.0538)	(0.0538)	(0.0384)
time24_2	-0.235***	-0.00500	-0.235***	-0.235***	-0.00500
	(0.0513)	(0.0377)	(0.0513)	(0.0513)	(0.0377)
time24_3	-0.187***	0.0294	-0.187***	-0.187***	0.0294
	(0.0450)	(0.0396)	(0.0450)	(0.0450)	(0.0396)
time24_4	-0.147***	0.0564	-0.147***	-0.147***	0.0564
	(0.0481)	(0.0421)	(0.0481)	(0.0481)	(0.0421)
time24_5	-0.142***	0.0478	-0.142***	-0.142***	0.0478
	(0.0452)	(0.0413)	(0.0452)	(0.0452)	(0.0413)
time24_6	-0.163***	0.0142	-0.163***	-0.163***	0.0142
	(0.0410)	(0.0404)	(0.0410)	(0.0410)	(0.0404)
time24_7	-0.0360	0.127**	-0.0360	-0.0360	0.127**
	(0.0421)	(0.0497)	(0.0421)	(0.0421)	(0.0497)
time24_8	-0.0902**	0.0599	-0.0902**	-0.0902**	0.0599
	(0.0403)	(0.0458)	(0.0403)	(0.0403)	(0.0458)
time24_9	-0.0792**	0.0575	-0.0792**	-0.0792**	0.0575
	(0.0380)	(0.0453)	(0.0380)	(0.0380)	(0.0453)
time24_10	-0.0710*	0.0525	-0.0710*	-0.0710*	0.0525
	(0.0367)	(0.0459)	(0.0367)	(0.0367)	(0.0459)
time24_11	0.00492	0.115**	0.00492	0.00492	0.115**
	(0.0385)	(0.0462)	(0.0385)	(0.0385)	(0.0462)
time24_12	-0.00416	0.0927*	-0.00416	-0.00416	0.0927*
	(0.0359)	(0.0479)	(0.0359)	(0.0359)	(0.0479)
time24_14	0.00217	0.0724	0.00217	0.00217	0.0724
	(0.0366)	(0.0487)	(0.0366)	(0.0366)	(0.0487)
time24_15	0.0511	0.108**	0.0511	0.0511	0.108**
	(0.0411)	(0.0534)	(0.0411)	(0.0411)	(0.0534)
time24_16	0.0462	0.0898*	0.0462	0.0462	0.0898*
	(0.0410)	(0.0538)	(0.0410)	(0.0410)	(0.0538)
time24_17	0.0332	0.0634	0.0332	0.0332	0.0634
	(0.0403)	(0.0532)	(0.0403)	(0.0403)	(0.0532)
time24_18	0.113***	0.129**	0.113***	0.113***	0.129**
	(0.0408)	(0.0588)	(0.0408)	(0.0408)	(0.0588)
time24_19	0.0907*	0.0943	0.0907*	0.0907*	0.0943
	(0.0470)	(0.0636)	(0.0470)	(0.0470)	(0.0636)
time24_20	0.107**	0.0968*	0.107**	0.107**	0.0968*
	(0.0482)	(0.0586)	(0.0482)	(0.0482)	(0.0586)
time24_21	0.122**	0.0988*	0.122**	0.122**	0.0988*
	(0.0483)	(0.0574)	(0.0483)	(0.0483)	(0.0574)
time24_22	0.158***	0.121**	0.158***	0.158***	0.121**
	(0.0519)	(0.0558)	(0.0519)	(0.0519)	(0.0558)
time24_23	0.126**	0.0764	0.126**	0.126**	0.0764
	(0.0515)	(0.0569)	(0.0515)	(0.0515)	(0.0569)
time24_25	0.157***	0.0804	0.157***	0.157***	0.0804
	(0.0561)	(0.0569)	(0.0561)	(0.0561)	(0.0569)
time24_26	0.215***	0.125**	0.215***	0.215***	0.125**
	(0.0530)	(0.0563)	(0.0530)	(0.0530)	(0.0563)
time24_27	0.183***	0.0798	0.183***	0.183***	0.0798
	(0.0603)	(0.0564)	(0.0603)	(0.0603)	(0.0564)
time24_28	0.187***	0.0710	0.187***	0.187***	0.0710
	(0.0625)	(0.0567)	(0.0625)	(0.0625)	(0.0567)
time24_29	0.184***	0.0547	0.184***	0.184***	0.0547
	(0.0664)	(0.0580)	(0.0664)	(0.0664)	(0.0580)
time24_30	0.239***	0.0964*	0.239***	0.239***	0.0964*
	(0.0654)	(0.0570)	(0.0654)	(0.0654)	(0.0570)
time24_31	0.248***	0.0920	0.248***	0.248***	0.0920
	(0.0772)	(0.0655)	(0.0772)	(0.0772)	(0.0655)
time24_32	0.216***	0.0468	0.216***	0.216***	0.0468
	(0.0743)	(0.0565)	(0.0743)	(0.0743)	(0.0565)
time24_33	0.235***	0.0526	0.235***	0.235***	0.0526
	(0.0771)	(0.0594)	(0.0771)	(0.0771)	(0.0594)
time24_34	0.237***	0.0411	0.237***	0.237***	0.0411
	(0.0799)	(0.0567)	(0.0799)	(0.0799)	(0.0567)
time24_35	0.230***	0.0206	0.230***	0.230***	0.0206
	(0.0840)	(0.0533)	(0.0840)	(0.0840)	(0.0533)
time24_36	0.242***	0.0194	0.242***	0.242***	0.0194
	(0.0888)	(0.0545)	(0.0888)	(0.0888)	(0.0545)
time24_37	0.239***	0.00326	0.239***	0.239***	0.00326
	(0.0893)	(0.0550)	(0.0893)	(0.0893)	(0.0550)
time24_38	0.300***	0.0510	0.300***	0.300***	0.0510
	(0.0912)	(0.0512)	(0.0912)	(0.0912)	(0.0512)
time24_39	0.276***	0.0128	0.276***	0.276***	0.0128
	(0.0888)	(0.0498)	(0.0888)	(0.0888)	(0.0498)
time24_40	0.272***	-0.00454	0.272***	0.272***	-0.00454
	(0.0921)	(0.0554)	(0.0921)	(0.0921)	(0.0554)
time24_41	0.323***	0.0334	0.323***	0.323***	0.0334
	(0.0946)	(0.0570)	(0.0946)	(0.0946)	(0.0570)
time24_42	0.312***	0.00880	0.312***	0.312***	0.00880
	(0.0946)	(0.0488)	(0.0946)	(0.0946)	(0.0488)
time24_43	0.374***	0.0575	0.374***	0.374***	0.0575
	(0.0984)	(0.0566)	(0.0984)	(0.0984)	(0.0566)
time24_44	0.314***	-0.0152	0.314***	0.314***	-0.0152
	(0.0990)	(0.0512)	(0.0990)	(0.0990)	(0.0512)
time24_45	0.343***	0.000704	0.343***	0.343***	0.000704
	(0.0977)	(0.0502)	(0.0977)	(0.0977)	(0.0502)
time24_46	0.373***	0.0167	0.373***	0.373***	0.0167
	(0.0995)	(0.0477)	(0.0995)	(0.0995)	(0.0477)
time24_47	0.289***	-0.0805*	0.289***	0.289***	-0.0805*
	(0.107)	(0.0453)	(0.107)	(0.107)	(0.0453)
time24_48	0.383***		0.383***	0.383***	
	(0.105)		(0.105)	(0.105)	
time24_13		0.0835*			0.0835*
		(0.0497)			(0.0497)
months_from_start		0.0133***			0.0133***
		(0.00234)			(0.00234)
Constant	0.546***	-2.188***	0.546***	0.546***	-2.188***
	(0.0647)	(0.432)	(0.0647)	(0.0647)	(0.432)
					
Observations	33,554	33,554	33,554	33,554	33,554
R-squared	0.029	0.029	0.029	0.029	0.029
Number of id_numeric	705	705	705	705	705
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
