	(1)	(2)	(3)	(4)	(5)
VARIABLES	No Controls	Months from First Publication	Months Exp	Pubs Exp	All Controls
					
time24_6		0.203			0.203
		(0.672)			(0.672)
months_from_start		0.0824***			0.0824***
		(0.0244)			(0.0244)
Constant	2.416**	-16.81***	2.416**	2.416**	-16.81***
	(1.011)	(6.165)	(1.011)	(1.011)	(6.165)
					
Observations	9,825	9,825	9,825	9,825	9,825
R-squared	0.026	0.026	0.026	0.026	0.026
Number of id_numeric	701	701	701	701	701
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
