	(1)	(2)	(3)	(4)	(5)
VARIABLES	No Controls	Months from First Publication	Months Exp	Pubs Exp	All Controls
					
time24_0	0.00205		0.00205	0.00205	
					
time24_1	0.00130	-0.00124*	0.00130	0.00130	-0.00124*
		(0.000715)			(0.000715)
time24_2	0.000161	-0.00288**	0.000161	0.000161	-0.00288**
		(0.00118)			(0.00118)
time24_3	-0.000115	-0.00365**	-0.000115	-0.000115	-0.00365**
		(0.00153)			(0.00153)
time24_4	-0.000217	-0.00425**	-0.000217	-0.000217	-0.00425**
		(0.00185)			(0.00185)
time24_5	-0.000327	-0.00486**	-0.000327	-0.000327	-0.00486**
		(0.00213)			(0.00213)
time24_7	-0.000597	-0.00612**	-0.000597	-0.000597	-0.00612**
		(0.00270)			(0.00270)
time24_8	-0.00150	-0.00752**	-0.00150	-0.00150	-0.00752**
		(0.00298)			(0.00298)
time24_9	-0.000871	-0.00739**	-0.000871	-0.000871	-0.00739**
	(0.0346)	(0.00319)	(0.0346)	(0.0346)	(0.00319)
time24_10	-0.000481	-0.00750**	-0.000481	-0.000481	-0.00750**
		(0.00341)			(0.00341)
time24_11	0.000200	-0.00732**	0.000200	0.000200	-0.00732**
		(0.00362)			(0.00362)
time24_12	0.000434	-0.00758**	0.000434	0.000434	-0.00758**
		(0.00380)			(0.00380)
time24_13	0.00122	-0.00729*	0.00122	0.00122	-0.00729*
		(0.00397)			(0.00397)
time24_14	0.00164	-0.00736*	0.00164	0.00164	-0.00736*
		(0.00412)			(0.00412)
time24_15	0.00255	-0.00696	0.00255	0.00255	-0.00696
	(0.0697)	(0.00426)	(0.0697)	(0.0697)	(0.00426)
time24_16	0.00327	-0.00673	0.00327	0.00327	-0.00673
		(0.00438)			(0.00438)
time24_17	0.00347	-0.00702	0.00347	0.00347	-0.00702
		(0.00449)			(0.00449)
time24_18	0.00412	-0.00688	0.00412	0.00412	-0.00688
		(0.00459)			(0.00459)
time24_19	0.00476	-0.00673	0.00476	0.00476	-0.00673
		(0.00467)			(0.00467)
time24_20	0.00553	-0.00646	0.00553	0.00553	-0.00646
	(0.205)	(0.00474)	(0.205)	(0.205)	(0.00474)
time24_21	0.00648	-0.00601	0.00648	0.00648	-0.00601
		(0.00481)			(0.00481)
time24_22	0.00697	-0.00602	0.00697	0.00697	-0.00602
		(0.00480)			(0.00480)
time24_23	0.00736	-0.00612	0.00736	0.00736	-0.00612
		(0.00475)			(0.00475)
time24_25	0.00980	-0.00467	0.00980	0.00980	-0.00467
		(0.00453)			(0.00453)
time24_26	0.0103	-0.00464	0.0103	0.0103	-0.00464
		(0.00445)			(0.00445)
time24_27	0.0109	-0.00454	0.0109	0.0109	-0.00454
		(0.00434)			(0.00434)
time24_28	0.0115	-0.00450	0.0115	0.0115	-0.00450
		(0.00421)			(0.00421)
time24_29	0.0119	-0.00456	0.0119	0.0119	-0.00456
		(0.00406)			(0.00406)
time24_30	0.0129	-0.00406	0.0129	0.0129	-0.00406
		(0.00391)			(0.00391)
time24_31	0.0136	-0.00390	0.0136	0.0136	-0.00390
		(0.00375)			(0.00375)
time24_32	0.0142	-0.00378	0.0142	0.0142	-0.00378
		(0.00358)			(0.00358)
time24_33	0.0150	-0.00342	0.0150	0.0150	-0.00342
		(0.00341)			(0.00341)
time24_34	0.0157	-0.00322	0.0157	0.0157	-0.00322
		(0.00323)			(0.00323)
time24_35	0.0165	-0.00296	0.0165	0.0165	-0.00296
		(0.00302)			(0.00302)
time24_36	0.0174	-0.00259	0.0174	0.0174	-0.00259
		(0.00283)			(0.00283)
time24_37	0.0181	-0.00239	0.0181	0.0181	-0.00239
		(0.00263)			(0.00263)
time24_38	0.0186	-0.00235	0.0186	0.0186	-0.00235
		(0.00242)			(0.00242)
time24_39	0.0196	-0.00186	0.0196	0.0196	-0.00186
		(0.00221)			(0.00221)
time24_40	0.0203	-0.00163	0.0203	0.0203	-0.00163
		(0.00200)			(0.00200)
time24_41	0.0209	-0.00153	0.0209	0.0209	-0.00153
		(0.00177)			(0.00177)
time24_42	0.0218	-0.00117	0.0218	0.0218	-0.00117
		(0.00155)			(0.00155)
time24_43	0.0222	-0.00119	0.0222	0.0222	-0.00119
		(0.00134)			(0.00134)
time24_44	0.0232	-0.000709	0.0232	0.0232	-0.000709
		(0.00112)			(0.00112)
time24_45	0.0239	-0.000555	0.0239	0.0239	-0.000555
		(0.000883)			(0.000883)
time24_46	0.0243	-0.000571	0.0243	0.0243	-0.000571
		(0.000649)			(0.000649)
time24_47	0.0255	6.56e-05	0.0255	0.0255	6.56e-05
		(0.000396)			(0.000396)
time24_48	0.0259		0.0259	0.0259	
					
time24_6		-0.00503**			-0.00503**
		(0.00238)			(0.00238)
months_from_start		0.000525			0.000525
		(0.000469)			(0.000469)
Constant	0.0692	-0.0492	0.0692	0.0692	-0.0492
		(0.132)			(0.132)
					
Observations	192,672	192,672	192,672	192,672	192,672
R-squared	0.016	0.016	0.016	0.016	0.016
Number of id_numeric	4,084	4,084	4,084	4,084	4,084
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
