	(1)	(2)	(3)	(4)	(5)
VARIABLES	No Controls	Months from First Publication	Months Exp	Pubs Exp	All Controls
					
time12_0	0.0259	0.0259	0.0259	0.0259	0.0259
	(0.0390)	(0.0390)	(0.0390)	(0.0390)	(0.0390)
time12_1	-0.0116	-0.0116	-0.0116	-0.0116	-0.0116
	(0.0352)	(0.0352)	(0.0352)	(0.0352)	(0.0352)
time12_2	-0.0476	-0.0476	-0.0476	-0.0476	-0.0476
	(0.0336)	(0.0336)	(0.0336)	(0.0336)	(0.0336)
time12_3	-0.0386	-0.0386	-0.0386	-0.0386	-0.0386
	(0.0361)	(0.0361)	(0.0361)	(0.0361)	(0.0361)
time12_4	-0.0538	-0.0538	-0.0538	-0.0538	-0.0538
	(0.0344)	(0.0344)	(0.0344)	(0.0344)	(0.0344)
time12_5	-0.0746**	-0.0746**	-0.0746**	-0.0746**	-0.0746**
	(0.0327)	(0.0327)	(0.0327)	(0.0327)	(0.0327)
time12_6	0.00149	0.00149	0.00149	0.00149	0.00149
	(0.0407)	(0.0407)	(0.0407)	(0.0407)	(0.0407)
time12_7	-0.00443	-0.00443	-0.00443	-0.00443	-0.00443
	(0.0401)	(0.0401)	(0.0401)	(0.0401)	(0.0401)
time12_8	-0.0284	-0.0284	-0.0284	-0.0284	-0.0284
	(0.0407)	(0.0407)	(0.0407)	(0.0407)	(0.0407)
time12_9	-0.0173	-0.0173	-0.0173	-0.0173	-0.0173
	(0.0423)	(0.0423)	(0.0423)	(0.0423)	(0.0423)
time12_10	0.00502	0.00502	0.00502	0.00502	0.00502
	(0.0411)	(0.0411)	(0.0411)	(0.0411)	(0.0411)
time12_11	-0.0449	-0.0449	-0.0449	-0.0449	-0.0449
	(0.0422)	(0.0422)	(0.0422)	(0.0422)	(0.0422)
time12_13	-0.0295	-0.0295	-0.0295	-0.0295	-0.0295
	(0.0413)	(0.0413)	(0.0413)	(0.0413)	(0.0413)
time12_14	0.00549	0.00549	0.00549	0.00549	0.00549
	(0.0408)	(0.0408)	(0.0408)	(0.0408)	(0.0408)
time12_15	-0.0186	-0.0186	-0.0186	-0.0186	-0.0186
	(0.0393)	(0.0393)	(0.0393)	(0.0393)	(0.0393)
time12_16	-0.0273	-0.0273	-0.0273	-0.0273	-0.0273
	(0.0409)	(0.0409)	(0.0409)	(0.0409)	(0.0409)
time12_17	-0.0380	-0.0380	-0.0380	-0.0380	-0.0380
	(0.0406)	(0.0406)	(0.0406)	(0.0406)	(0.0406)
time12_18	0.0449	0.0449	0.0449	0.0449	0.0449
	(0.0399)	(0.0399)	(0.0399)	(0.0399)	(0.0399)
time12_19	-0.0563	-0.0563	-0.0563	-0.0563	-0.0563
	(0.0380)	(0.0380)	(0.0380)	(0.0380)	(0.0380)
time12_20	-0.0351	-0.0351	-0.0351	-0.0351	-0.0351
	(0.0379)	(0.0379)	(0.0379)	(0.0379)	(0.0379)
time12_21	-0.0226	-0.0226	-0.0226	-0.0226	-0.0226
	(0.0371)	(0.0371)	(0.0371)	(0.0371)	(0.0371)
time12_22	0.0134	0.0134	0.0134	0.0134	0.0134
	(0.0414)	(0.0414)	(0.0414)	(0.0414)	(0.0414)
time12_23	-0.0695**	-0.0695**	-0.0695**	-0.0695**	-0.0695**
	(0.0342)	(0.0342)	(0.0342)	(0.0342)	(0.0342)
time12_24	0.0352	0.0352	0.0352	0.0352	0.0352
	(0.0384)	(0.0384)	(0.0384)	(0.0384)	(0.0384)
months_from_start		0.00601*			0.00601*
		(0.00326)			(0.00326)
Constant	0.725***	-0.897	0.725***	0.725***	-0.897
	(0.143)	(0.991)	(0.143)	(0.143)	(0.991)
					
Observations	47,634	47,634	47,634	47,634	47,634
R-squared	0.032	0.032	0.032	0.032	0.032
Number of id_numeric	996	996	996	996	996
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
