	(1)	(2)	(3)	(4)	(5)
VARIABLES	No Controls	Months from First Publication	Months Exp	Pubs Exp	All Controls
					
time12_0	-0.290	-0.290	-0.290	-0.290	-0.290
	(0.411)	(0.411)	(0.411)	(0.411)	(0.411)
time12_1	-1.011**	-1.011**	-1.011**	-1.011**	-1.011**
	(0.446)	(0.446)	(0.446)	(0.446)	(0.446)
time12_2	0.0597	0.0597	0.0597	0.0597	0.0597
	(0.540)	(0.540)	(0.540)	(0.540)	(0.540)
time12_3	0.185	0.185	0.185	0.185	0.185
	(0.598)	(0.598)	(0.598)	(0.598)	(0.598)
time12_4	0.775	0.775	0.775	0.775	0.775
	(0.653)	(0.653)	(0.653)	(0.653)	(0.653)
time12_5	-0.358	-0.358	-0.358	-0.358	-0.358
	(0.532)	(0.532)	(0.532)	(0.532)	(0.532)
time12_6	-0.589	-0.589	-0.589	-0.589	-0.589
	(0.538)	(0.538)	(0.538)	(0.538)	(0.538)
time12_7	0.487	0.487	0.487	0.487	0.487
	(0.679)	(0.679)	(0.679)	(0.679)	(0.679)
time12_8	-1.574***	-1.574***	-1.574***	-1.574***	-1.574***
	(0.510)	(0.510)	(0.510)	(0.510)	(0.510)
time12_9	-0.152	-0.152	-0.152	-0.152	-0.152
	(0.662)	(0.662)	(0.662)	(0.662)	(0.662)
time12_10	-1.460***	-1.460***	-1.460***	-1.460***	-1.460***
	(0.498)	(0.498)	(0.498)	(0.498)	(0.498)
time12_11	-0.523	-0.523	-0.523	-0.523	-0.523
	(0.623)	(0.623)	(0.623)	(0.623)	(0.623)
time12_13	-0.327	-0.327	-0.327	-0.327	-0.327
	(0.661)	(0.661)	(0.661)	(0.661)	(0.661)
time12_14	-0.166	-0.166	-0.166	-0.166	-0.166
	(0.711)	(0.711)	(0.711)	(0.711)	(0.711)
time12_15	-0.612	-0.612	-0.612	-0.612	-0.612
	(0.650)	(0.650)	(0.650)	(0.650)	(0.650)
time12_16	-0.525	-0.525	-0.525	-0.525	-0.525
	(0.659)	(0.659)	(0.659)	(0.659)	(0.659)
time12_17	-0.0692	-0.0692	-0.0692	-0.0692	-0.0692
	(0.643)	(0.643)	(0.643)	(0.643)	(0.643)
time12_18	-0.299	-0.299	-0.299	-0.299	-0.299
	(0.685)	(0.685)	(0.685)	(0.685)	(0.685)
time12_19	-1.402***	-1.402***	-1.402***	-1.402***	-1.402***
	(0.454)	(0.454)	(0.454)	(0.454)	(0.454)
time12_20	-0.240	-0.240	-0.240	-0.240	-0.240
	(0.562)	(0.562)	(0.562)	(0.562)	(0.562)
time12_21	-0.746	-0.746	-0.746	-0.746	-0.746
	(0.532)	(0.532)	(0.532)	(0.532)	(0.532)
time12_22	-0.361	-0.361	-0.361	-0.361	-0.361
	(0.618)	(0.618)	(0.618)	(0.618)	(0.618)
time12_23	0.500	0.500	0.500	0.500	0.500
	(0.564)	(0.564)	(0.564)	(0.564)	(0.564)
time12_24	-0.666	-0.666	-0.666	-0.666	-0.666
	(0.493)	(0.493)	(0.493)	(0.493)	(0.493)
months_from_start		0.0539***			0.0539***
		(0.0175)			(0.0175)
Constant	2.868***	-8.901**	2.868***	2.868***	-8.901**
	(0.729)	(4.361)	(0.729)	(0.729)	(4.361)
					
Observations	9,825	9,825	9,825	9,825	9,825
R-squared	0.022	0.022	0.022	0.022	0.022
Number of id_numeric	701	701	701	701	701
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
