	(1)	(2)	(3)	(4)	(5)
VARIABLES	No Controls	Months from First Publication	Months Exp	Pubs Exp	All Controls
					
time12_0	0.418	-0.450	0.418	0.418	-0.450
	(1.005)	(0.296)	(1.005)	(1.005)	(0.296)
time12_1	0.783		0.783	0.783	
	(0.911)		(0.911)	(0.911)	
time12_2	0.178	-0.520*	0.178	0.178	-0.520*
	(0.819)	(0.286)	(0.819)	(0.819)	(0.286)
time12_3	0.280	-0.332	0.280	0.280	-0.332
	(0.723)	(0.295)	(0.723)	(0.723)	(0.295)
time12_4	0.525	-0.00250	0.525	0.525	-0.00250
	(0.640)	(0.305)	(0.640)	(0.640)	(0.305)
time12_5	0.491	0.0480	0.491	0.491	0.0480
	(0.533)	(0.280)	(0.533)	(0.533)	(0.280)
time12_6	-0.218	-0.575**	-0.218	-0.218	-0.575**
	(0.432)	(0.257)	(0.432)	(0.432)	(0.257)
time12_7	0.0369	-0.236	0.0369	0.0369	-0.236
	(0.373)	(0.270)	(0.373)	(0.373)	(0.270)
time12_8	-0.181	-0.369	-0.181	-0.181	-0.369
	(0.322)	(0.272)	(0.322)	(0.322)	(0.272)
time12_10	-0.651**	-0.668***	-0.651**	-0.651**	-0.668***
	(0.311)	(0.252)	(0.311)	(0.311)	(0.252)
time12_11	-0.363	-0.296	-0.363	-0.363	-0.296
	(0.372)	(0.270)	(0.372)	(0.372)	(0.270)
time12_13	-0.199	0.0376	-0.199	-0.199	0.0376
	(0.515)	(0.262)	(0.515)	(0.515)	(0.262)
time12_14	-0.305	0.0172	-0.305	-0.305	0.0172
	(0.603)	(0.257)	(0.603)	(0.603)	(0.257)
time12_15	-0.535	-0.128	-0.535	-0.535	-0.128
	(0.704)	(0.270)	(0.704)	(0.704)	(0.270)
time12_16	-0.510	-0.0178	-0.510	-0.510	-0.0178
	(0.819)	(0.286)	(0.819)	(0.819)	(0.286)
time12_17	-0.686	-0.109	-0.686	-0.686	-0.109
	(0.907)	(0.292)	(0.907)	(0.907)	(0.292)
time12_18	-0.573	0.0890	-0.573	-0.573	0.0890
	(1.011)	(0.301)	(1.011)	(1.011)	(0.301)
time12_19	-0.748	-0.00128	-0.748	-0.748	-0.00128
	(1.110)	(0.292)	(1.110)	(1.110)	(0.292)
time12_20	-1.067	-0.235	-1.067	-1.067	-0.235
	(1.205)	(0.295)	(1.205)	(1.205)	(0.295)
time12_21	-1.031	-0.114	-1.031	-1.031	-0.114
	(1.314)	(0.284)	(1.314)	(1.314)	(0.284)
time12_22	-0.830	0.172	-0.830	-0.830	0.172
	(1.425)	(0.322)	(1.425)	(1.425)	(0.322)
time12_23	-1.089	-0.00147	-1.089	-1.089	-0.00147
	(1.524)	(0.311)	(1.524)	(1.524)	(0.311)
time12_24	-1.172		-1.172	-1.172	
	(1.623)		(1.623)	(1.623)	
time12_9		-0.103			-0.103
		(0.263)			(0.263)
months_from_start		-0.0850			-0.0850
		(0.108)			(0.108)
Constant	10.22***	36.86	10.22***	10.22***	36.86
	(2.715)	(36.18)	(2.715)	(2.715)	(36.18)
					
Observations	25,681	25,681	25,681	25,681	25,681
R-squared	0.014	0.014	0.014	0.014	0.014
Number of id_numeric	2,871	2,871	2,871	2,871	2,871
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
