	(1)	(2)	(3)	(4)	(5)
VARIABLES	No Controls	Months from First Publication	Months Exp	Pubs Exp	All Controls
					
time12_1	-0.000308	-0.000129	-0.000308	-0.000308	-0.000129
	(0.000425)	(0.000227)	(0.000425)	(0.000425)	(0.000227)
time12_2	-0.000867	-0.000510	-0.000867	-0.000867	-0.000510
	(0.000836)	(0.000320)	(0.000836)	(0.000836)	(0.000320)
time12_3	-0.000959	-0.000422	-0.000959	-0.000959	-0.000422
	(0.00126)	(0.000387)	(0.00126)	(0.00126)	(0.000387)
time12_4	-0.00136	-0.000643	-0.00136	-0.00136	-0.000643
	(0.00170)	(0.000466)	(0.00170)	(0.00170)	(0.000466)
time12_5	-0.00174	-0.000849*	-0.00174	-0.00174	-0.000849*
	(0.00215)	(0.000514)	(0.00215)	(0.00215)	(0.000514)
time12_6	-0.00224	-0.00116**	-0.00224	-0.00224	-0.00116**
	(0.00259)	(0.000562)	(0.00259)	(0.00259)	(0.000562)
time12_7	-0.00255	-0.00130**	-0.00255	-0.00255	-0.00130**
	(0.00304)	(0.000599)	(0.00304)	(0.00304)	(0.000599)
time12_8	-0.00276	-0.00133**	-0.00276	-0.00276	-0.00133**
	(0.00349)	(0.000627)	(0.00349)	(0.00349)	(0.000627)
time12_9	-0.00325	-0.00164**	-0.00325	-0.00325	-0.00164**
	(0.00394)	(0.000656)	(0.00394)	(0.00394)	(0.000656)
time12_10	-0.00385	-0.00206***	-0.00385	-0.00385	-0.00206***
	(0.00442)	(0.000663)	(0.00442)	(0.00442)	(0.000663)
time12_11	-0.00461	-0.00264***	-0.00461	-0.00461	-0.00264***
	(0.00487)	(0.000665)	(0.00487)	(0.00487)	(0.000665)
time12_13	-0.00361	-0.00128**	-0.00361	-0.00361	-0.00128**
	(0.00578)	(0.000577)	(0.00578)	(0.00578)	(0.000577)
time12_14	-0.00391	-0.00141**	-0.00391	-0.00391	-0.00141**
	(0.00623)	(0.000555)	(0.00623)	(0.00623)	(0.000555)
time12_15	-0.00421	-0.00153***	-0.00421	-0.00421	-0.00153***
	(0.00668)	(0.000519)	(0.00668)	(0.00668)	(0.000519)
time12_16	-0.00433	-0.00147***	-0.00433	-0.00433	-0.00147***
	(0.00713)	(0.000488)	(0.00713)	(0.00713)	(0.000488)
time12_17	-0.00453	-0.00149***	-0.00453	-0.00453	-0.00149***
	(0.00759)	(0.000449)	(0.00759)	(0.00759)	(0.000449)
time12_18	-0.00463	-0.00141***	-0.00463	-0.00463	-0.00141***
	(0.00804)	(0.000409)	(0.00804)	(0.00804)	(0.000409)
time12_19	-0.00480	-0.00140***	-0.00480	-0.00480	-0.00140***
	(0.00849)	(0.000364)	(0.00849)	(0.00849)	(0.000364)
time12_20	-0.00484	-0.00126***	-0.00484	-0.00484	-0.00126***
	(0.00894)	(0.000318)	(0.00894)	(0.00894)	(0.000318)
time12_21	-0.00471	-0.000958***	-0.00471	-0.00471	-0.000958***
	(0.00939)	(0.000273)	(0.00939)	(0.00939)	(0.000273)
time12_22	-0.00486	-0.000923***	-0.00486	-0.00486	-0.000923***
	(0.00984)	(0.000218)	(0.00984)	(0.00984)	(0.000218)
time12_23	-0.00473	-0.000616***	-0.00473	-0.00473	-0.000616***
	(0.0103)	(0.000157)	(0.0103)	(0.0103)	(0.000157)
time12_24	-0.00429		-0.00429	-0.00429	
	(0.0107)		(0.0107)	(0.0107)	
months_from_start		-0.000179			-0.000179
		(0.000448)			(0.000448)
Constant	0.109***	0.151	0.109***	0.109***	0.151
	(0.0151)	(0.120)	(0.0151)	(0.0151)	(0.120)
					
Observations	389,029	389,029	389,029	389,029	389,029
R-squared	0.005	0.005	0.005	0.005	0.005
Number of id_numeric	16,539	16,539	16,539	16,539	16,539
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
