	(1)	(2)	(3)	(4)	(5)
VARIABLES	No Controls	Months from First Publication	Months Exp	Pubs Exp	All Controls
					
time24_12	-0.545***		-0.545***	-0.545***	
	(0.0888)		(0.0888)	(0.0888)	
time24_13	-0.586***	-0.0629***	-0.586***	-0.586***	-0.0629***
	(0.0870)	(0.0234)	(0.0870)	(0.0870)	(0.0234)
time24_14	-0.564***	-0.0636***	-0.564***	-0.564***	-0.0636***
	(0.0830)	(0.0222)	(0.0830)	(0.0830)	(0.0222)
time24_15	-0.543***	-0.0658***	-0.543***	-0.543***	-0.0658***
	(0.0799)	(0.0226)	(0.0799)	(0.0799)	(0.0226)
time24_16	-0.530***	-0.0760***	-0.530***	-0.530***	-0.0760***
	(0.0767)	(0.0214)	(0.0767)	(0.0767)	(0.0214)
time24_17	-0.493***	-0.0615***	-0.493***	-0.493***	-0.0615***
	(0.0725)	(0.0216)	(0.0725)	(0.0725)	(0.0216)
time24_18	-0.464***	-0.0553**	-0.464***	-0.464***	-0.0553**
	(0.0691)	(0.0219)	(0.0691)	(0.0691)	(0.0219)
time24_19	-0.455***	-0.0684***	-0.455***	-0.455***	-0.0684***
	(0.0654)	(0.0218)	(0.0654)	(0.0654)	(0.0218)
time24_20	-0.409***	-0.0459**	-0.409***	-0.409***	-0.0459**
	(0.0625)	(0.0214)	(0.0625)	(0.0625)	(0.0214)
time24_21	-0.407***	-0.0662***	-0.407***	-0.407***	-0.0662***
	(0.0587)	(0.0217)	(0.0587)	(0.0587)	(0.0217)
time24_22	-0.369***	-0.0510**	-0.369***	-0.369***	-0.0510**
	(0.0555)	(0.0214)	(0.0555)	(0.0555)	(0.0214)
time24_23	-0.368***	-0.0726***	-0.368***	-0.368***	-0.0726***
	(0.0522)	(0.0209)	(0.0522)	(0.0522)	(0.0209)
time24_25	-0.289***	-0.0395*	-0.289***	-0.289***	-0.0395*
	(0.0453)	(0.0215)	(0.0453)	(0.0453)	(0.0215)
time24_26	-0.277***	-0.0496**	-0.277***	-0.277***	-0.0496**
	(0.0435)	(0.0219)	(0.0435)	(0.0435)	(0.0219)
time24_27	-0.250***	-0.0452**	-0.250***	-0.250***	-0.0452**
	(0.0402)	(0.0215)	(0.0402)	(0.0402)	(0.0215)
time24_28	-0.246***	-0.0643***	-0.246***	-0.246***	-0.0643***
	(0.0366)	(0.0209)	(0.0366)	(0.0366)	(0.0209)
time24_29	-0.196***	-0.0367*	-0.196***	-0.196***	-0.0367*
	(0.0338)	(0.0219)	(0.0338)	(0.0338)	(0.0219)
time24_30	-0.167***	-0.0310	-0.167***	-0.167***	-0.0310
	(0.0311)	(0.0217)	(0.0311)	(0.0311)	(0.0217)
time24_31	-0.176***	-0.0620***	-0.176***	-0.176***	-0.0620***
	(0.0290)	(0.0220)	(0.0290)	(0.0290)	(0.0220)
time24_32	-0.119***	-0.0285	-0.119***	-0.119***	-0.0285
	(0.0274)	(0.0224)	(0.0274)	(0.0274)	(0.0224)
time24_33	-0.0983***	-0.0301	-0.0983***	-0.0983***	-0.0301
	(0.0256)	(0.0227)	(0.0256)	(0.0256)	(0.0227)
time24_34	-0.0667***	-0.0212	-0.0667***	-0.0667***	-0.0212
	(0.0243)	(0.0229)	(0.0243)	(0.0243)	(0.0229)
time24_35	-0.0842***	-0.0615***	-0.0842***	-0.0842***	-0.0615***
	(0.0223)	(0.0218)	(0.0223)	(0.0223)	(0.0218)
months_from_start		0.0227***			0.0227***
		(0.00370)			(0.00370)
Constant	0.954***	-6.276***	0.954***	0.954***	-6.276***
	(0.104)	(1.125)	(0.104)	(0.104)	(1.125)
					
Observations	69,477	69,477	69,477	69,477	69,477
R-squared	0.025	0.025	0.025	0.025	0.025
Number of id_numeric	2,903	2,903	2,903	2,903	2,903
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
