	(1)	(2)	(3)	(4)	(5)
VARIABLES	No Controls	Months from First Publication	Months Exp	Pubs Exp	All Controls
					
time24_0	2.782		2.782	2.782	
	(2.751)		(2.751)	(2.751)	
time24_1	3.001	0.278	3.001	3.001	0.278
	(2.937)	(0.957)	(2.937)	(2.937)	(0.957)
time24_2	3.860	1.196	3.860	3.860	1.196
	(2.900)	(1.157)	(2.900)	(2.900)	(1.157)
time24_3	1.829	-0.775	1.829	1.829	-0.775
	(3.056)	(1.132)	(3.056)	(3.056)	(1.132)
time24_4	2.582	0.0364	2.582	2.582	0.0364
	(2.994)	(0.986)	(2.994)	(2.994)	(0.986)
time24_5	2.816	0.330	2.816	2.816	0.330
	(2.952)	(1.268)	(2.952)	(2.952)	(1.268)
time24_6	2.599	0.172	2.599	2.599	0.172
	(2.829)	(1.303)	(2.829)	(2.829)	(1.303)
time24_7	2.747	0.379	2.747	2.747	0.379
	(2.807)	(1.412)	(2.807)	(2.807)	(1.412)
time24_8	1.803	-0.505	1.803	1.803	-0.505
	(2.972)	(1.431)	(2.972)	(2.972)	(1.431)
time24_9	1.288	-0.962	1.288	1.288	-0.962
	(2.822)	(1.377)	(2.822)	(2.822)	(1.377)
time24_10	0.744	-1.447	0.744	0.744	-1.447
	(2.896)	(1.463)	(2.896)	(2.896)	(1.463)
time24_11	-0.594	-2.725*	-0.594	-0.594	-2.725*
	(2.936)	(1.626)	(2.936)	(2.936)	(1.626)
time24_12	-0.668	-2.740	-0.668	-0.668	-2.740
	(2.909)	(1.769)	(2.909)	(2.909)	(1.769)
time24_13	-0.246	-2.259	-0.246	-0.246	-2.259
	(2.851)	(1.660)	(2.851)	(2.851)	(1.660)
time24_14	-0.132	-2.085	-0.132	-0.132	-2.085
	(2.890)	(1.677)	(2.890)	(2.890)	(1.677)
time24_15	0.113	-1.781	0.113	0.113	-1.781
	(2.819)	(1.589)	(2.819)	(2.819)	(1.589)
time24_16	1.107	-0.727	1.107	1.107	-0.727
	(3.063)	(1.979)	(3.063)	(3.063)	(1.979)
time24_17	0.723	-1.053	0.723	0.723	-1.053
	(2.843)	(1.751)	(2.843)	(2.843)	(1.751)
time24_18	-0.754	-2.471	-0.754	-0.754	-2.471
	(2.797)	(1.711)	(2.797)	(2.797)	(1.711)
time24_19	0.915	-0.743	0.915	0.915	-0.743
	(2.699)	(1.622)	(2.699)	(2.699)	(1.622)
time24_20	0.556	-1.042	0.556	0.556	-1.042
	(2.784)	(1.833)	(2.784)	(2.784)	(1.833)
time24_21	1.148	-0.391	1.148	1.148	-0.391
	(2.686)	(1.696)	(2.686)	(2.686)	(1.696)
time24_22	0.527	-0.952	0.527	0.527	-0.952
	(2.667)	(1.604)	(2.667)	(2.667)	(1.604)
time24_23	-0.178	-1.599	-0.178	-0.178	-1.599
	(2.789)	(1.801)	(2.789)	(2.789)	(1.801)
time24_25	0.235	-1.067	0.235	0.235	-1.067
	(2.406)	(1.411)	(2.406)	(2.406)	(1.411)
time24_26	0.0854	-1.158	0.0854	0.0854	-1.158
	(2.483)	(1.610)	(2.483)	(2.483)	(1.610)
time24_27	-0.296	-1.480	-0.296	-0.296	-1.480
	(2.350)	(1.413)	(2.350)	(2.350)	(1.413)
time24_28	1.501	0.376	1.501	1.501	0.376
	(2.356)	(1.456)	(2.356)	(2.356)	(1.456)
time24_29	-0.393	-1.458	-0.393	-0.393	-1.458
	(2.326)	(1.559)	(2.326)	(2.326)	(1.559)
time24_30	1.305	0.299	1.305	1.305	0.299
	(2.224)	(1.423)	(2.224)	(2.224)	(1.423)
time24_31	2.036	1.089	2.036	2.036	1.089
	(2.311)	(1.508)	(2.311)	(2.311)	(1.508)
time24_32	2.306	1.418	2.306	2.306	1.418
	(2.500)	(1.771)	(2.500)	(2.500)	(1.771)
time24_33	0.869	0.0403	0.869	0.869	0.0403
	(2.260)	(1.564)	(2.260)	(2.260)	(1.564)
time24_34	1.660	0.890	1.660	1.660	0.890
	(2.501)	(1.882)	(2.501)	(2.501)	(1.882)
time24_35	2.485	1.775	2.485	2.485	1.775
	(2.410)	(1.795)	(2.410)	(2.410)	(1.795)
time24_36	2.432	1.781	2.432	2.432	1.781
	(2.112)	(1.579)	(2.112)	(2.112)	(1.579)
time24_37	0.939	0.347	0.939	0.939	0.347
	(2.191)	(1.767)	(2.191)	(2.191)	(1.767)
time24_38	1.637	1.105	1.637	1.637	1.105
	(2.086)	(1.668)	(2.086)	(2.086)	(1.668)
time24_39	2.881	2.407	2.881	2.881	2.407
	(1.830)	(1.487)	(1.830)	(1.830)	(1.487)
time24_40	1.412	0.997	1.412	1.412	0.997
	(1.609)	(1.313)	(1.609)	(1.609)	(1.313)
time24_41	2.862*	2.507*	2.862*	2.862*	2.507*
	(1.539)	(1.297)	(1.539)	(1.539)	(1.297)
time24_42	2.608*	2.312*	2.608*	2.608*	2.312*
	(1.517)	(1.345)	(1.517)	(1.517)	(1.345)
time24_43	2.483*	2.246*	2.483*	2.483*	2.246*
	(1.292)	(1.171)	(1.292)	(1.292)	(1.171)
time24_44	3.131**	2.954**	3.131**	3.131**	2.954**
	(1.323)	(1.248)	(1.323)	(1.323)	(1.248)
time24_45	2.535**	2.417*	2.535**	2.535**	2.417*
	(1.277)	(1.226)	(1.277)	(1.277)	(1.226)
time24_46	2.263	2.204	2.263	2.263	2.204
	(1.395)	(1.386)	(1.395)	(1.395)	(1.386)
months_from_start		0.00511			0.00511
		(0.0218)			(0.0218)
Constant	3.474	4.899	3.474	3.474	4.899
	(2.467)	(6.799)	(2.467)	(2.467)	(6.799)
					
Observations	3,910	3,910	3,910	3,910	3,910
R-squared	0.030	0.030	0.030	0.030	0.030
Number of id_numeric	171	171	171	171	171
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
