	(1)	(2)	(3)	(4)	(5)
VARIABLES	No Controls	Months from First Publication	Months Exp	Pubs Exp	All Controls
					
time12_0	-0.00142	-0.00142	-0.00142	-0.00142	-0.00142
	(0.00108)	(0.00108)	(0.00108)	(0.00108)	(0.00108)
time12_1	-0.00118	-0.00118	-0.00118	-0.00118	-0.00118
	(0.00123)	(0.00123)	(0.00123)	(0.00123)	(0.00123)
time12_2	-0.00130	-0.00130	-0.00130	-0.00130	-0.00130
	(0.00138)	(0.00138)	(0.00138)	(0.00138)	(0.00138)
time12_3	-0.000924	-0.000924	-0.000924	-0.000924	-0.000924
	(0.00154)	(0.00154)	(0.00154)	(0.00154)	(0.00154)
time12_4	-0.000807	-0.000807	-0.000807	-0.000807	-0.000807
	(0.00169)	(0.00169)	(0.00169)	(0.00169)	(0.00169)
time12_5	-0.00122	-0.00122	-0.00122	-0.00122	-0.00122
	(0.00183)	(0.00183)	(0.00183)	(0.00183)	(0.00183)
time12_6	-0.00127	-0.00127	-0.00127	-0.00127	-0.00127
	(0.00196)	(0.00196)	(0.00196)	(0.00196)	(0.00196)
time12_7	-0.00131	-0.00131	-0.00131	-0.00131	-0.00131
	(0.00208)	(0.00208)	(0.00208)	(0.00208)	(0.00208)
time12_8	-0.00126	-0.00126	-0.00126	-0.00126	-0.00126
	(0.00218)	(0.00218)	(0.00218)	(0.00218)	(0.00218)
time12_9	-0.00102	-0.00102	-0.00102	-0.00102	-0.00102
	(0.00228)	(0.00228)	(0.00228)	(0.00228)	(0.00228)
time12_10	-0.00126	-0.00126	-0.00126	-0.00126	-0.00126
	(0.00229)	(0.00229)	(0.00229)	(0.00229)	(0.00229)
time12_11	-0.00164	-0.00164	-0.00164	-0.00164	-0.00164
	(0.00229)	(0.00229)	(0.00229)	(0.00229)	(0.00229)
time12_13	-0.000694	-0.000694	-0.000694	-0.000694	-0.000694
	(0.00208)	(0.00208)	(0.00208)	(0.00208)	(0.00208)
time12_14	-0.000845	-0.000845	-0.000845	-0.000845	-0.000845
	(0.00202)	(0.00202)	(0.00202)	(0.00202)	(0.00202)
time12_15	-0.000927	-0.000927	-0.000927	-0.000927	-0.000927
	(0.00193)	(0.00193)	(0.00193)	(0.00193)	(0.00193)
time12_16	-0.00102	-0.00102	-0.00102	-0.00102	-0.00102
	(0.00182)	(0.00182)	(0.00182)	(0.00182)	(0.00182)
time12_17	-0.00122	-0.00122	-0.00122	-0.00122	-0.00122
	(0.00169)	(0.00169)	(0.00169)	(0.00169)	(0.00169)
time12_18	-0.000853	-0.000853	-0.000853	-0.000853	-0.000853
	(0.00155)	(0.00155)	(0.00155)	(0.00155)	(0.00155)
time12_19	-0.000808	-0.000808	-0.000808	-0.000808	-0.000808
	(0.00142)	(0.00142)	(0.00142)	(0.00142)	(0.00142)
time12_20	-0.000783	-0.000783	-0.000783	-0.000783	-0.000783
	(0.00128)	(0.00128)	(0.00128)	(0.00128)	(0.00128)
time12_21	-0.000541	-0.000541	-0.000541	-0.000541	-0.000541
	(0.00114)	(0.00114)	(0.00114)	(0.00114)	(0.00114)
time12_22	-0.000494	-0.000494	-0.000494	-0.000494	-0.000494
	(0.00101)	(0.00101)	(0.00101)	(0.00101)	(0.00101)
time12_23	-0.000384	-0.000384	-0.000384	-0.000384	-0.000384
	(0.000841)	(0.000841)	(0.000841)	(0.000841)	(0.000841)
time12_24	-0.000208	-0.000208	-0.000208	-0.000208	-0.000208
	(0.000706)	(0.000706)	(0.000706)	(0.000706)	(0.000706)
months_from_start		0.000517			0.000517
		(0.000469)			(0.000469)
Constant	0.0668**	-0.0487	0.0668**	0.0668**	-0.0487
	(0.0279)	(0.132)	(0.0279)	(0.0279)	(0.132)
					
Observations	200,243	200,243	200,243	200,243	200,243
R-squared	0.016	0.016	0.016	0.016	0.016
Number of id_numeric	4,255	4,255	4,255	4,255	4,255
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
