	(1)	(2)	(3)	(4)	(5)
VARIABLES	No Controls	Months from First Publication	Months Exp	Pubs Exp	All Controls
					
time12_1	0.00188	-0.0141	0.00188	0.00188	-0.0141
	(0.00887)	(0.00865)	(0.00887)	(0.00887)	(0.00865)
time12_2	-0.00375	-0.0357***	-0.00375	-0.00375	-0.0357***
	(0.00910)	(0.00831)	(0.00910)	(0.00910)	(0.00831)
time12_3	0.0162	-0.0318***	0.0162	0.0162	-0.0318***
	(0.0101)	(0.00846)	(0.0101)	(0.0101)	(0.00846)
time12_4	0.0379***	-0.0261***	0.0379***	0.0379***	-0.0261***
	(0.0108)	(0.00818)	(0.0108)	(0.0108)	(0.00818)
time12_5	0.0614***	-0.0186**	0.0614***	0.0614***	-0.0186**
	(0.0119)	(0.00805)	(0.0119)	(0.0119)	(0.00805)
time12_6	0.0701***	-0.0259***	0.0701***	0.0701***	-0.0259***
	(0.0133)	(0.00808)	(0.0133)	(0.0133)	(0.00808)
time12_7	0.0889***	-0.0231***	0.0889***	0.0889***	-0.0231***
	(0.0148)	(0.00813)	(0.0148)	(0.0148)	(0.00813)
time12_8	0.0918***	-0.0362***	0.0918***	0.0918***	-0.0362***
	(0.0162)	(0.00798)	(0.0162)	(0.0162)	(0.00798)
time12_9	0.0973***	-0.0467***	0.0973***	0.0973***	-0.0467***
	(0.0178)	(0.00805)	(0.0178)	(0.0178)	(0.00805)
time12_10	0.126***	-0.0336***	0.126***	0.126***	-0.0336***
	(0.0194)	(0.00791)	(0.0194)	(0.0194)	(0.00791)
time12_11	0.131***	-0.0452***	0.131***	0.131***	-0.0452***
	(0.0210)	(0.00793)	(0.0210)	(0.0210)	(0.00793)
time12_13	0.183***	-0.0253***	0.183***	0.183***	-0.0253***
	(0.0242)	(0.00799)	(0.0242)	(0.0242)	(0.00799)
time12_14	0.186***	-0.0384***	0.186***	0.186***	-0.0384***
	(0.0258)	(0.00812)	(0.0258)	(0.0258)	(0.00812)
time12_15	0.202***	-0.0377***	0.202***	0.202***	-0.0377***
	(0.0274)	(0.00824)	(0.0274)	(0.0274)	(0.00824)
time12_16	0.199***	-0.0571***	0.199***	0.199***	-0.0571***
	(0.0293)	(0.00808)	(0.0293)	(0.0293)	(0.00808)
time12_17	0.235***	-0.0370***	0.235***	0.235***	-0.0370***
	(0.0310)	(0.00840)	(0.0310)	(0.0310)	(0.00840)
time12_18	0.242***	-0.0462***	0.242***	0.242***	-0.0462***
	(0.0325)	(0.00831)	(0.0325)	(0.0325)	(0.00831)
time12_19	0.260***	-0.0438***	0.260***	0.260***	-0.0438***
	(0.0344)	(0.00863)	(0.0344)	(0.0344)	(0.00863)
time12_20	0.282***	-0.0383***	0.282***	0.282***	-0.0383***
	(0.0359)	(0.00861)	(0.0359)	(0.0359)	(0.00861)
time12_21	0.281***	-0.0545***	0.281***	0.281***	-0.0545***
	(0.0375)	(0.00867)	(0.0375)	(0.0375)	(0.00867)
time12_22	0.279***	-0.0730***	0.279***	0.279***	-0.0730***
	(0.0393)	(0.00871)	(0.0393)	(0.0393)	(0.00871)
time12_23	0.290***	-0.0778***	0.290***	0.290***	-0.0778***
	(0.0410)	(0.00884)	(0.0410)	(0.0410)	(0.00884)
time12_24	0.384***		0.384***	0.384***	
	(0.0424)		(0.0424)	(0.0424)	
months_from_start		0.0160***			0.0160***
		(0.00176)			(0.00176)
Constant	0.500***	-3.221***	0.500***	0.500***	-3.221***
	(0.0496)	(0.441)	(0.0496)	(0.0496)	(0.441)
					
Observations	395,164	395,164	395,164	395,164	395,164
R-squared	0.020	0.020	0.020	0.020	0.020
Number of id_numeric	16,565	16,565	16,565	16,565	16,565
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
