	(1)	(2)	(3)	(4)	(5)
VARIABLES	No Controls	Months from First Publication	Months Exp	Pubs Exp	All Controls
					
time24_0	1.020	0.0316	1.020	1.020	0.0316
	(0.715)	(0.286)	(0.715)	(0.715)	(0.286)
time24_1	0.855		0.855	0.855	
	(0.617)		(0.617)	(0.617)	
time24_2	0.585	-0.137	0.585	0.585	-0.137
	(0.493)	(0.275)	(0.493)	(0.493)	(0.275)
time24_3	0.542	-0.0465	0.542	0.542	-0.0465
	(0.409)	(0.289)	(0.409)	(0.409)	(0.289)
time24_4	0.106	-0.349	0.106	0.106	-0.349
	(0.306)	(0.294)	(0.306)	(0.306)	(0.294)
time24_6	-0.0109	-0.199	-0.0109	-0.0109	-0.199
	(0.312)	(0.304)	(0.312)	(0.312)	(0.304)
time24_7	-0.197	-0.252	-0.197	-0.197	-0.252
	(0.384)	(0.292)	(0.384)	(0.384)	(0.292)
time24_8	-0.303	-0.224	-0.303	-0.303	-0.224
	(0.489)	(0.291)	(0.489)	(0.489)	(0.291)
time24_9	-0.470	-0.259	-0.470	-0.470	-0.259
	(0.608)	(0.291)	(0.608)	(0.608)	(0.291)
time24_10	-0.567	-0.222	-0.567	-0.567	-0.222
	(0.709)	(0.292)	(0.709)	(0.709)	(0.292)
time24_11	-0.989	-0.510*	-0.989	-0.989	-0.510*
	(0.850)	(0.291)	(0.850)	(0.850)	(0.291)
time24_12	-0.762	-0.150	-0.762	-0.762	-0.150
	(0.989)	(0.288)	(0.989)	(0.989)	(0.288)
time24_13	-0.685	0.0600	-0.685	-0.685	0.0600
	(1.116)	(0.293)	(1.116)	(1.116)	(0.293)
time24_14	-1.177	-0.299	-1.177	-1.177	-0.299
	(1.257)	(0.307)	(1.257)	(1.257)	(0.307)
time24_15	-1.140	-0.128	-1.140	-1.140	-0.128
	(1.381)	(0.302)	(1.381)	(1.381)	(0.302)
time24_16	-1.028	0.117	-1.028	-1.028	0.117
	(1.523)	(0.308)	(1.523)	(1.523)	(0.308)
time24_17	-1.271	0.00724	-1.271	-1.271	0.00724
	(1.653)	(0.314)	(1.653)	(1.653)	(0.314)
time24_18	-1.786	-0.374	-1.786	-1.786	-0.374
	(1.797)	(0.303)	(1.797)	(1.797)	(0.303)
time24_19	-1.280	0.266	-1.280	-1.280	0.266
	(1.936)	(0.325)	(1.936)	(1.936)	(0.325)
time24_20	-2.264	-0.585*	-2.264	-2.264	-0.585*
	(2.075)	(0.309)	(2.075)	(2.075)	(0.309)
time24_21	-2.132	-0.320	-2.132	-2.132	-0.320
	(2.206)	(0.307)	(2.206)	(2.206)	(0.307)
time24_22	-2.409	-0.464	-2.409	-2.409	-0.464
	(2.349)	(0.303)	(2.349)	(2.349)	(0.303)
time24_23	-2.487	-0.409	-2.487	-2.487	-0.409
	(2.490)	(0.310)	(2.490)	(2.490)	(0.310)
time24_25	-2.426	-0.0806	-2.426	-2.426	-0.0806
	(2.778)	(0.300)	(2.778)	(2.778)	(0.300)
time24_26	-2.684	-0.206	-2.684	-2.684	-0.206
	(2.912)	(0.300)	(2.912)	(2.912)	(0.300)
time24_27	-3.307	-0.695**	-3.307	-3.307	-0.695**
	(3.059)	(0.292)	(3.059)	(3.059)	(0.292)
time24_28	-3.032	-0.286	-3.032	-3.032	-0.286
	(3.202)	(0.299)	(3.202)	(3.202)	(0.299)
time24_29	-3.292	-0.414	-3.292	-3.292	-0.414
	(3.342)	(0.292)	(3.342)	(3.342)	(0.292)
time24_30	-3.240	-0.229	-3.240	-3.240	-0.229
	(3.477)	(0.294)	(3.477)	(3.477)	(0.294)
time24_31	-3.471	-0.326	-3.471	-3.471	-0.326
	(3.622)	(0.275)	(3.622)	(3.622)	(0.275)
time24_32	-3.605	-0.327	-3.605	-3.605	-0.327
	(3.755)	(0.284)	(3.755)	(3.755)	(0.284)
time24_33	-3.878	-0.466	-3.878	-3.878	-0.466
	(3.896)	(0.284)	(3.896)	(3.896)	(0.284)
time24_34	-3.806	-0.261	-3.806	-3.806	-0.261
	(4.042)	(0.287)	(4.042)	(4.042)	(0.287)
time24_35	-3.671	0.00760	-3.671	-3.671	0.00760
	(4.175)	(0.281)	(4.175)	(4.175)	(0.281)
time24_36	-4.070	-0.258	-4.070	-4.070	-0.258
	(4.307)	(0.278)	(4.307)	(4.307)	(0.278)
time24_37	-3.299	0.647**	-3.299	-3.299	0.647**
	(4.458)	(0.303)	(4.458)	(4.458)	(0.303)
time24_38	-3.953	0.125	-3.953	-3.953	0.125
	(4.598)	(0.283)	(4.598)	(4.598)	(0.283)
time24_39	-4.320	-0.108	-4.320	-4.320	-0.108
	(4.749)	(0.275)	(4.749)	(4.749)	(0.275)
time24_40	-4.592	-0.247	-4.592	-4.592	-0.247
	(4.890)	(0.273)	(4.890)	(4.890)	(0.273)
time24_41	-4.511	-0.0326	-4.511	-4.511	-0.0326
	(5.035)	(0.272)	(5.035)	(5.035)	(0.272)
time24_42	-4.826	-0.214	-4.826	-4.826	-0.214
	(5.180)	(0.261)	(5.180)	(5.180)	(0.261)
time24_43	-4.829	-0.0836	-4.829	-4.829	-0.0836
	(5.308)	(0.253)	(5.308)	(5.308)	(0.253)
time24_44	-4.847	0.0314	-4.847	-4.847	0.0314
	(5.452)	(0.266)	(5.452)	(5.452)	(0.266)
time24_45	-5.180	-0.169	-5.180	-5.180	-0.169
	(5.592)	(0.268)	(5.592)	(5.592)	(0.268)
time24_46	-5.213	-0.0681	-5.213	-5.213	-0.0681
	(5.740)	(0.265)	(5.740)	(5.740)	(0.265)
time24_47	-5.279		-5.279	-5.279	
	(5.882)		(5.882)	(5.882)	
time24_48	-5.290	0.122	-5.290	-5.290	0.122
	(6.030)	(0.255)	(6.030)	(6.030)	(0.255)
time24_5		-0.321			-0.321
		(0.286)			(0.286)
months_from_start		-0.133			-0.133
		(0.140)			(0.140)
Constant	13.88**	49.15	13.88**	13.88**	49.15
	(6.607)	(43.18)	(6.607)	(6.607)	(43.18)
					
Observations	72,426	72,426	72,426	72,426	72,426
R-squared	0.013	0.013	0.013	0.013	0.013
Number of id_numeric	4,236	4,236	4,236	4,236	4,236
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
