	(1)	(2)	(3)	(4)	(5)
VARIABLES	No Controls	Months from First Publication	Months Exp	Pubs Exp	All Controls
					
time24_0	5.923	-0.291	5.923	5.923	-0.291
	(7.955)	(0.608)	(7.955)	(7.955)	(0.608)
time24_1	6.064		6.064	6.064	
	(7.799)		(7.799)	(7.799)	
time24_2	5.710	-0.204	5.710	5.710	-0.204
	(7.596)	(0.590)	(7.596)	(7.596)	(0.590)
time24_3	5.437	-0.327	5.437	5.437	-0.327
	(7.446)	(0.547)	(7.446)	(7.446)	(0.547)
time24_4	4.215	-1.398***	4.215	4.215	-1.398***
	(7.158)	(0.514)	(7.158)	(7.158)	(0.514)
time24_5	4.449	-1.013*	4.449	4.449	-1.013*
	(7.016)	(0.559)	(7.016)	(7.016)	(0.559)
time24_6	4.805	-0.507	4.805	4.805	-0.507
	(6.874)	(0.586)	(6.874)	(6.874)	(0.586)
time24_7	4.146	-1.016*	4.146	4.146	-1.016*
	(6.626)	(0.565)	(6.626)	(6.626)	(0.565)
time24_8	4.577	-0.434	4.577	4.577	-0.434
	(6.394)	(0.575)	(6.394)	(6.394)	(0.575)
time24_9	4.351	-0.510	4.351	4.351	-0.510
	(6.219)	(0.556)	(6.219)	(6.219)	(0.556)
time24_10	4.567	-0.144	4.567	4.567	-0.144
	(6.107)	(0.611)	(6.107)	(6.107)	(0.611)
time24_11	3.831	-0.730	3.831	3.831	-0.730
	(5.849)	(0.543)	(5.849)	(5.849)	(0.543)
time24_12	3.857	-0.553	3.857	3.857	-0.553
	(5.666)	(0.576)	(5.666)	(5.666)	(0.576)
time24_13	3.984	-0.276	3.984	3.984	-0.276
	(5.468)	(0.593)	(5.468)	(5.468)	(0.593)
time24_14	2.617	-1.493***	2.617	2.617	-1.493***
	(5.268)	(0.519)	(5.268)	(5.268)	(0.519)
time24_15	3.270	-0.689	3.270	3.270	-0.689
	(5.086)	(0.604)	(5.086)	(5.086)	(0.604)
time24_16	3.340	-0.469	3.340	3.340	-0.469
	(4.895)	(0.627)	(4.895)	(4.895)	(0.627)
time24_17	3.231	-0.428	3.231	3.231	-0.428
	(4.740)	(0.646)	(4.740)	(4.740)	(0.646)
time24_18	2.307	-1.201**	2.307	2.307	-1.201**
	(4.443)	(0.570)	(4.443)	(4.443)	(0.570)
time24_19	2.552	-0.805	2.552	2.552	-0.805
	(4.288)	(0.629)	(4.288)	(4.288)	(0.629)
time24_20	2.063	-1.144*	2.063	2.063	-1.144*
	(4.077)	(0.595)	(4.077)	(4.077)	(0.595)
time24_21	1.957	-1.100*	1.957	1.957	-1.100*
	(3.884)	(0.567)	(3.884)	(3.884)	(0.567)
time24_22	1.733	-1.174**	1.733	1.733	-1.174**
	(3.653)	(0.593)	(3.653)	(3.653)	(0.593)
time24_23	1.303	-1.454***	1.303	1.303	-1.454***
	(3.469)	(0.550)	(3.469)	(3.469)	(0.550)
time24_25	1.506	-0.949*	1.506	1.506	-0.949*
	(3.038)	(0.554)	(3.038)	(3.038)	(0.554)
time24_26	1.251	-1.054*	1.251	1.251	-1.054*
	(2.874)	(0.538)	(2.874)	(2.874)	(0.538)
time24_27	0.960	-1.195**	0.960	0.960	-1.195**
	(2.639)	(0.599)	(2.639)	(2.639)	(0.599)
time24_28	0.733	-1.272**	0.733	0.733	-1.272**
	(2.444)	(0.578)	(2.444)	(2.444)	(0.578)
time24_29	1.026	-0.828	1.026	1.026	-0.828
	(2.341)	(0.616)	(2.341)	(2.341)	(0.616)
time24_30	1.255	-0.449	1.255	1.255	-0.449
	(2.093)	(0.595)	(2.093)	(2.093)	(0.595)
time24_31	0.202	-1.351**	0.202	0.202	-1.351**
	(1.950)	(0.581)	(1.950)	(1.950)	(0.581)
time24_32	0.313	-1.090*	0.313	0.313	-1.090*
	(1.719)	(0.557)	(1.719)	(1.719)	(0.557)
time24_33	0.510	-0.742	0.510	0.510	-0.742
	(1.533)	(0.589)	(1.533)	(1.533)	(0.589)
time24_34	0.815	-0.287	0.815	0.815	-0.287
	(1.323)	(0.580)	(1.323)	(1.323)	(0.580)
time24_35	0.184	-0.768	0.184	0.184	-0.768
	(1.159)	(0.536)	(1.159)	(1.159)	(0.536)
time24_36	0.290	-0.512	0.290	0.290	-0.512
	(0.995)	(0.585)	(0.995)	(0.995)	(0.585)
time24_37	0.526	-0.126	0.526	0.526	-0.126
	(0.869)	(0.657)	(0.869)	(0.869)	(0.657)
time24_38	0.103	-0.398	0.103	0.103	-0.398
	(0.682)	(0.578)	(0.682)	(0.682)	(0.578)
time24_39	-0.305	-0.656	-0.305	-0.305	-0.656
	(0.608)	(0.566)	(0.608)	(0.608)	(0.566)
time24_41	-0.483	-0.533	-0.483	-0.483	-0.533
	(0.592)	(0.575)	(0.592)	(0.592)	(0.575)
time24_42	-0.388	-0.288	-0.388	-0.388	-0.288
	(0.675)	(0.518)	(0.675)	(0.675)	(0.518)
time24_43	-0.818	-0.567	-0.818	-0.818	-0.567
	(0.762)	(0.511)	(0.762)	(0.762)	(0.511)
time24_44	-0.627	-0.226	-0.627	-0.627	-0.226
	(0.940)	(0.499)	(0.940)	(0.940)	(0.499)
time24_45	-1.014	-0.463	-1.014	-1.014	-0.463
	(1.106)	(0.542)	(1.106)	(1.106)	(0.542)
time24_46	-0.702		-0.702	-0.702	
	(1.335)		(1.335)	(1.335)	
time24_47	-0.978	-0.126	-0.978	-0.978	-0.126
	(1.415)	(0.547)	(1.415)	(1.415)	(0.547)
time24_48	-0.976	0.0265	-0.976	-0.976	0.0265
	(1.630)	(0.547)	(1.630)	(1.630)	(0.547)
time24_40		-0.200			-0.200
		(0.577)			(0.577)
months_from_start		-0.150			-0.150
		(0.200)			(0.200)
Constant	9.916***	59.43	9.916***	9.916***	59.43
	(2.567)	(67.85)	(2.567)	(2.567)	(67.85)
					
Observations	19,725	19,725	19,725	19,725	19,725
R-squared	0.018	0.018	0.018	0.018	0.018
Number of id_numeric	996	996	996	996	996
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
