	(1)	(2)	(3)	(4)	(5)
VARIABLES	No Controls	Months from First Publication	Months Exp	Pubs Exp	All Controls
					
time12_0	0.0273	0.0273	0.0273	0.0273	0.0273
	(0.0309)	(0.0309)	(0.0309)	(0.0309)	(0.0309)
time12_1	0.0184	0.0184	0.0184	0.0184	0.0184
	(0.0303)	(0.0303)	(0.0303)	(0.0303)	(0.0303)
time12_2	0.00779	0.00779	0.00779	0.00779	0.00779
	(0.0293)	(0.0293)	(0.0293)	(0.0293)	(0.0293)
time12_3	0.0445	0.0445	0.0445	0.0445	0.0445
	(0.0349)	(0.0349)	(0.0349)	(0.0349)	(0.0349)
time12_4	0.0273	0.0273	0.0273	0.0273	0.0273
	(0.0353)	(0.0353)	(0.0353)	(0.0353)	(0.0353)
time12_5	0.00278	0.00278	0.00278	0.00278	0.00278
	(0.0346)	(0.0346)	(0.0346)	(0.0346)	(0.0346)
time12_6	0.0706*	0.0706*	0.0706*	0.0706*	0.0706*
	(0.0402)	(0.0402)	(0.0402)	(0.0402)	(0.0402)
time12_7	0.0373	0.0373	0.0373	0.0373	0.0373
	(0.0428)	(0.0428)	(0.0428)	(0.0428)	(0.0428)
time12_8	0.0418	0.0418	0.0418	0.0418	0.0418
	(0.0398)	(0.0398)	(0.0398)	(0.0398)	(0.0398)
time12_9	0.0457	0.0457	0.0457	0.0457	0.0457
	(0.0403)	(0.0403)	(0.0403)	(0.0403)	(0.0403)
time12_10	0.0703*	0.0703*	0.0703*	0.0703*	0.0703*
	(0.0376)	(0.0376)	(0.0376)	(0.0376)	(0.0376)
time12_11	0.0274	0.0274	0.0274	0.0274	0.0274
	(0.0374)	(0.0374)	(0.0374)	(0.0374)	(0.0374)
time12_13	0.0353	0.0353	0.0353	0.0353	0.0353
	(0.0390)	(0.0390)	(0.0390)	(0.0390)	(0.0390)
time12_14	0.0824**	0.0824**	0.0824**	0.0824**	0.0824**
	(0.0383)	(0.0383)	(0.0383)	(0.0383)	(0.0383)
time12_15	0.0387	0.0387	0.0387	0.0387	0.0387
	(0.0384)	(0.0384)	(0.0384)	(0.0384)	(0.0384)
time12_16	0.0319	0.0319	0.0319	0.0319	0.0319
	(0.0383)	(0.0383)	(0.0383)	(0.0383)	(0.0383)
time12_17	0.0175	0.0175	0.0175	0.0175	0.0175
	(0.0369)	(0.0369)	(0.0369)	(0.0369)	(0.0369)
time12_18	0.0611*	0.0611*	0.0611*	0.0611*	0.0611*
	(0.0368)	(0.0368)	(0.0368)	(0.0368)	(0.0368)
time12_19	0.0586	0.0586	0.0586	0.0586	0.0586
	(0.0414)	(0.0414)	(0.0414)	(0.0414)	(0.0414)
time12_20	0.0152	0.0152	0.0152	0.0152	0.0152
	(0.0364)	(0.0364)	(0.0364)	(0.0364)	(0.0364)
time12_21	0.0226	0.0226	0.0226	0.0226	0.0226
	(0.0359)	(0.0359)	(0.0359)	(0.0359)	(0.0359)
time12_22	0.0130	0.0130	0.0130	0.0130	0.0130
	(0.0369)	(0.0369)	(0.0369)	(0.0369)	(0.0369)
time12_23	-0.00582	-0.00582	-0.00582	-0.00582	-0.00582
	(0.0323)	(0.0323)	(0.0323)	(0.0323)	(0.0323)
time12_24	-0.00541	-0.00541	-0.00541	-0.00541	-0.00541
	(0.0370)	(0.0370)	(0.0370)	(0.0370)	(0.0370)
months_from_start		0.0131***			0.0131***
		(0.00237)			(0.00237)
Constant	0.194***	-2.149***	0.194***	0.194***	-2.149***
	(0.0388)	(0.436)	(0.0388)	(0.0388)	(0.436)
					
Observations	33,554	33,554	33,554	33,554	33,554
R-squared	0.028	0.028	0.028	0.028	0.028
Number of id_numeric	705	705	705	705	705
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
