	(1)	(2)	(3)	(4)	(5)
VARIABLES	No Controls	Months from First Publication	Months Exp	Pubs Exp	All Controls
					
time12_0	-0.00466	-0.00466	-0.00466	-0.00466	-0.00466
	(0.00385)	(0.00385)	(0.00385)	(0.00385)	(0.00385)
time12_1	-0.00551	-0.00551	-0.00551	-0.00551	-0.00551
	(0.00435)	(0.00435)	(0.00435)	(0.00435)	(0.00435)
time12_2	-0.00622	-0.00622	-0.00622	-0.00622	-0.00622
	(0.00493)	(0.00493)	(0.00493)	(0.00493)	(0.00493)
time12_3	-0.00708	-0.00708	-0.00708	-0.00708	-0.00708
	(0.00537)	(0.00537)	(0.00537)	(0.00537)	(0.00537)
time12_4	-0.00888	-0.00888	-0.00888	-0.00888	-0.00888
	(0.00602)	(0.00602)	(0.00602)	(0.00602)	(0.00602)
time12_5	-0.0115*	-0.0115*	-0.0115*	-0.0115*	-0.0115*
	(0.00666)	(0.00666)	(0.00666)	(0.00666)	(0.00666)
time12_6	-0.0129*	-0.0129*	-0.0129*	-0.0129*	-0.0129*
	(0.00714)	(0.00714)	(0.00714)	(0.00714)	(0.00714)
time12_7	-0.0146*	-0.0146*	-0.0146*	-0.0146*	-0.0146*
	(0.00757)	(0.00757)	(0.00757)	(0.00757)	(0.00757)
time12_8	-0.0149*	-0.0149*	-0.0149*	-0.0149*	-0.0149*
	(0.00797)	(0.00797)	(0.00797)	(0.00797)	(0.00797)
time12_9	-0.0147*	-0.0147*	-0.0147*	-0.0147*	-0.0147*
	(0.00831)	(0.00831)	(0.00831)	(0.00831)	(0.00831)
time12_10	-0.0148*	-0.0148*	-0.0148*	-0.0148*	-0.0148*
	(0.00813)	(0.00813)	(0.00813)	(0.00813)	(0.00813)
time12_11	-0.0142*	-0.0142*	-0.0142*	-0.0142*	-0.0142*
	(0.00804)	(0.00804)	(0.00804)	(0.00804)	(0.00804)
time12_13	-0.00900	-0.00900	-0.00900	-0.00900	-0.00900
	(0.00739)	(0.00739)	(0.00739)	(0.00739)	(0.00739)
time12_14	-0.00853	-0.00853	-0.00853	-0.00853	-0.00853
	(0.00723)	(0.00723)	(0.00723)	(0.00723)	(0.00723)
time12_15	-0.00753	-0.00753	-0.00753	-0.00753	-0.00753
	(0.00686)	(0.00686)	(0.00686)	(0.00686)	(0.00686)
time12_16	-0.00738	-0.00738	-0.00738	-0.00738	-0.00738
	(0.00644)	(0.00644)	(0.00644)	(0.00644)	(0.00644)
time12_17	-0.00703	-0.00703	-0.00703	-0.00703	-0.00703
	(0.00585)	(0.00585)	(0.00585)	(0.00585)	(0.00585)
time12_18	-0.00593	-0.00593	-0.00593	-0.00593	-0.00593
	(0.00528)	(0.00528)	(0.00528)	(0.00528)	(0.00528)
time12_19	-0.00500	-0.00500	-0.00500	-0.00500	-0.00500
	(0.00483)	(0.00483)	(0.00483)	(0.00483)	(0.00483)
time12_20	-0.00452	-0.00452	-0.00452	-0.00452	-0.00452
	(0.00429)	(0.00429)	(0.00429)	(0.00429)	(0.00429)
time12_21	-0.00395	-0.00395	-0.00395	-0.00395	-0.00395
	(0.00375)	(0.00375)	(0.00375)	(0.00375)	(0.00375)
time12_22	-0.00307	-0.00307	-0.00307	-0.00307	-0.00307
	(0.00321)	(0.00321)	(0.00321)	(0.00321)	(0.00321)
time12_23	-0.00276	-0.00276	-0.00276	-0.00276	-0.00276
	(0.00270)	(0.00270)	(0.00270)	(0.00270)	(0.00270)
time12_24	-0.00179	-0.00179	-0.00179	-0.00179	-0.00179
	(0.00225)	(0.00225)	(0.00225)	(0.00225)	(0.00225)
months_from_start		-0.00173**			-0.00173**
		(0.000837)			(0.000837)
Constant	0.202***	0.517***	0.202***	0.202***	0.517***
	(0.0466)	(0.197)	(0.0466)	(0.0466)	(0.197)
					
Observations	32,684	32,684	32,684	32,684	32,684
R-squared	0.018	0.018	0.018	0.018	0.018
Number of id_numeric	705	705	705	705	705
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
