	(1)	(2)	(3)	(4)	(5)
VARIABLES	No Controls	Months from First Publication	Months Exp	Pubs Exp	All Controls
					
time24_0	0.0419**		0.0419**	0.0419**	
	(0.0163)		(0.0163)	(0.0163)	
time24_1	0.0391***	-0.00104	0.0391***	0.0391***	-0.00104
	(0.0148)	(0.00229)	(0.0148)	(0.0148)	(0.00229)
time24_2	0.0343**	-0.00415	0.0343**	0.0343**	-0.00415
	(0.0135)	(0.00362)	(0.0135)	(0.0135)	(0.00362)
time24_3	0.0303**	-0.00638	0.0303**	0.0303**	-0.00638
	(0.0123)	(0.00472)	(0.0123)	(0.0123)	(0.00472)
time24_4	0.0275**	-0.00745	0.0275**	0.0275**	-0.00745
	(0.0111)	(0.00571)	(0.0111)	(0.0111)	(0.00571)
time24_5	0.0244**	-0.00879	0.0244**	0.0244**	-0.00879
	(0.00987)	(0.00658)	(0.00987)	(0.00987)	(0.00658)
time24_6	0.0211**	-0.0104	0.0211**	0.0211**	-0.0104
	(0.00867)	(0.00749)	(0.00867)	(0.00867)	(0.00749)
time24_7	0.0168**	-0.0130	0.0168**	0.0168**	-0.0130
	(0.00757)	(0.00842)	(0.00757)	(0.00757)	(0.00842)
time24_8	0.0129**	-0.0152*	0.0129**	0.0129**	-0.0152*
	(0.00617)	(0.00920)	(0.00617)	(0.00617)	(0.00920)
time24_9	0.00969*	-0.0166*	0.00969*	0.00969*	-0.0166*
	(0.00502)	(0.00990)	(0.00502)	(0.00502)	(0.00990)
time24_10	0.00766*	-0.0169	0.00766*	0.00766*	-0.0169
	(0.00390)	(0.0108)	(0.00390)	(0.00390)	(0.0108)
time24_11	0.00524*	-0.0176	0.00524*	0.00524*	-0.0176
	(0.00278)	(0.0116)	(0.00278)	(0.00278)	(0.0116)
time24_12	0.00266*	-0.0184	0.00266*	0.00266*	-0.0184
	(0.00137)	(0.0123)	(0.00137)	(0.00137)	(0.0123)
time24_14	-0.00241	-0.0200	-0.00241	-0.00241	-0.0200
	(0.00146)	(0.0134)	(0.00146)	(0.00146)	(0.0134)
time24_15	-0.00486*	-0.0208	-0.00486*	-0.00486*	-0.0208
	(0.00250)	(0.0138)	(0.00250)	(0.00250)	(0.0138)
time24_16	-0.00820**	-0.0224	-0.00820**	-0.00820**	-0.0224
	(0.00350)	(0.0143)	(0.00350)	(0.00350)	(0.0143)
time24_17	-0.0123***	-0.0247*	-0.0123***	-0.0123***	-0.0247*
	(0.00460)	(0.0147)	(0.00460)	(0.00460)	(0.0147)
time24_18	-0.0151***	-0.0259*	-0.0151***	-0.0151***	-0.0259*
	(0.00558)	(0.0151)	(0.00558)	(0.00558)	(0.0151)
time24_19	-0.0183***	-0.0272*	-0.0183***	-0.0183***	-0.0272*
	(0.00655)	(0.0153)	(0.00655)	(0.00655)	(0.0153)
time24_20	-0.0199***	-0.0272*	-0.0199***	-0.0199***	-0.0272*
	(0.00752)	(0.0156)	(0.00752)	(0.00752)	(0.0156)
time24_21	-0.0212**	-0.0267*	-0.0212**	-0.0212**	-0.0267*
	(0.00848)	(0.0157)	(0.00848)	(0.00848)	(0.0157)
time24_22	-0.0227**	-0.0265*	-0.0227**	-0.0227**	-0.0265*
	(0.00927)	(0.0154)	(0.00927)	(0.00927)	(0.0154)
time24_23	-0.0236**	-0.0256*	-0.0236**	-0.0236**	-0.0256*
	(0.0101)	(0.0153)	(0.0101)	(0.0101)	(0.0153)
time24_25	-0.0212*	-0.0198	-0.0212*	-0.0212*	-0.0198
	(0.0119)	(0.0144)	(0.0119)	(0.0119)	(0.0144)
time24_26	-0.0221*	-0.0190	-0.0221*	-0.0221*	-0.0190
	(0.0127)	(0.0142)	(0.0127)	(0.0127)	(0.0142)
time24_27	-0.0226*	-0.0177	-0.0226*	-0.0226*	-0.0177
	(0.0135)	(0.0137)	(0.0135)	(0.0135)	(0.0137)
time24_28	-0.0239*	-0.0172	-0.0239*	-0.0239*	-0.0172
	(0.0143)	(0.0132)	(0.0143)	(0.0143)	(0.0132)
time24_29	-0.0249*	-0.0166	-0.0249*	-0.0249*	-0.0166
	(0.0151)	(0.0126)	(0.0151)	(0.0151)	(0.0126)
time24_30	-0.0253	-0.0152	-0.0253	-0.0253	-0.0152
	(0.0159)	(0.0120)	(0.0159)	(0.0159)	(0.0120)
time24_31	-0.0258	-0.0139	-0.0258	-0.0258	-0.0139
	(0.0168)	(0.0115)	(0.0168)	(0.0168)	(0.0115)
time24_32	-0.0267	-0.0132	-0.0267	-0.0267	-0.0132
	(0.0177)	(0.0108)	(0.0177)	(0.0177)	(0.0108)
time24_33	-0.0276	-0.0123	-0.0276	-0.0276	-0.0123
	(0.0185)	(0.0102)	(0.0185)	(0.0185)	(0.0102)
time24_34	-0.0281	-0.0111	-0.0281	-0.0281	-0.0111
	(0.0194)	(0.00959)	(0.0194)	(0.0194)	(0.00959)
time24_35	-0.0291	-0.0104	-0.0291	-0.0291	-0.0104
	(0.0203)	(0.00896)	(0.0203)	(0.0203)	(0.00896)
time24_36	-0.0295	-0.00902	-0.0295	-0.0295	-0.00902
	(0.0213)	(0.00835)	(0.0213)	(0.0213)	(0.00835)
time24_37	-0.0305	-0.00823	-0.0305	-0.0305	-0.00823
	(0.0222)	(0.00771)	(0.0222)	(0.0222)	(0.00771)
time24_38	-0.0318	-0.00780	-0.0318	-0.0318	-0.00780
	(0.0231)	(0.00706)	(0.0231)	(0.0231)	(0.00706)
time24_39	-0.0322	-0.00654	-0.0322	-0.0322	-0.00654
	(0.0241)	(0.00645)	(0.0241)	(0.0241)	(0.00645)
time24_40	-0.0334	-0.00595	-0.0334	-0.0334	-0.00595
	(0.0250)	(0.00580)	(0.0250)	(0.0250)	(0.00580)
time24_41	-0.0337	-0.00458	-0.0337	-0.0337	-0.00458
	(0.0260)	(0.00513)	(0.0260)	(0.0260)	(0.00513)
time24_42	-0.0345	-0.00365	-0.0345	-0.0345	-0.00365
	(0.0269)	(0.00445)	(0.0269)	(0.0269)	(0.00445)
time24_43	-0.0360	-0.00333	-0.0360	-0.0360	-0.00333
	(0.0280)	(0.00389)	(0.0280)	(0.0280)	(0.00389)
time24_44	-0.0371	-0.00274	-0.0371	-0.0371	-0.00274
	(0.0290)	(0.00319)	(0.0290)	(0.0290)	(0.00319)
time24_45	-0.0378	-0.00166	-0.0378	-0.0378	-0.00166
	(0.0299)	(0.00249)	(0.0299)	(0.0299)	(0.00249)
time24_46	-0.0391	-0.00123	-0.0391	-0.0391	-0.00123
	(0.0308)	(0.00180)	(0.0308)	(0.0308)	(0.00180)
time24_47	-0.0397	-0.000104	-0.0397	-0.0397	-0.000104
	(0.0317)	(0.00113)	(0.0317)	(0.0317)	(0.00113)
time24_48	-0.0413		-0.0413	-0.0413	
	(0.0325)		(0.0325)	(0.0325)	
time24_13		-0.0194			-0.0194
		(0.0128)			(0.0128)
months_from_start		-0.00173**			-0.00173**
		(0.000834)			(0.000834)
Constant	0.147***	0.518***	0.147***	0.147***	0.518***
	(0.0352)	(0.196)	(0.0352)	(0.0352)	(0.196)
					
Observations	32,684	32,684	32,684	32,684	32,684
R-squared	0.019	0.019	0.019	0.019	0.019
Number of id_numeric	705	705	705	705	705
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
