	(1)	(2)	(3)	(4)	(5)
VARIABLES	No Controls	Months from First Publication	Months Exp	Pubs Exp	All Controls
					
time12_0	-0.0231	-0.0231	-0.0231	-0.0231	-0.0231
	(0.365)	(0.365)	(0.365)	(0.365)	(0.365)
time12_1	-0.0866	-0.0866	-0.0866	-0.0866	-0.0866
	(0.459)	(0.459)	(0.459)	(0.459)	(0.459)
time12_2	-0.832**	-0.832**	-0.832**	-0.832**	-0.832**
	(0.345)	(0.345)	(0.345)	(0.345)	(0.345)
time12_3	-0.626*	-0.626*	-0.626*	-0.626*	-0.626*
	(0.362)	(0.362)	(0.362)	(0.362)	(0.362)
time12_4	-0.297	-0.297	-0.297	-0.297	-0.297
	(0.393)	(0.393)	(0.393)	(0.393)	(0.393)
time12_5	-0.501	-0.501	-0.501	-0.501	-0.501
	(0.395)	(0.395)	(0.395)	(0.395)	(0.395)
time12_6	-0.529	-0.529	-0.529	-0.529	-0.529
	(0.457)	(0.457)	(0.457)	(0.457)	(0.457)
time12_7	-0.338	-0.338	-0.338	-0.338	-0.338
	(0.382)	(0.382)	(0.382)	(0.382)	(0.382)
time12_8	-0.478	-0.478	-0.478	-0.478	-0.478
	(0.424)	(0.424)	(0.424)	(0.424)	(0.424)
time12_9	-0.419	-0.419	-0.419	-0.419	-0.419
	(0.438)	(0.438)	(0.438)	(0.438)	(0.438)
time12_10	-0.389	-0.389	-0.389	-0.389	-0.389
	(0.421)	(0.421)	(0.421)	(0.421)	(0.421)
time12_11	-0.893**	-0.893**	-0.893**	-0.893**	-0.893**
	(0.405)	(0.405)	(0.405)	(0.405)	(0.405)
time12_13	-0.0905	-0.0905	-0.0905	-0.0905	-0.0905
	(0.449)	(0.449)	(0.449)	(0.449)	(0.449)
time12_14	-0.224	-0.224	-0.224	-0.224	-0.224
	(0.413)	(0.413)	(0.413)	(0.413)	(0.413)
time12_15	-0.679	-0.679	-0.679	-0.679	-0.679
	(0.413)	(0.413)	(0.413)	(0.413)	(0.413)
time12_16	-0.505	-0.505	-0.505	-0.505	-0.505
	(0.439)	(0.439)	(0.439)	(0.439)	(0.439)
time12_17	-0.546	-0.546	-0.546	-0.546	-0.546
	(0.428)	(0.428)	(0.428)	(0.428)	(0.428)
time12_18	0.157	0.157	0.157	0.157	0.157
	(0.415)	(0.415)	(0.415)	(0.415)	(0.415)
time12_19	-0.792**	-0.792**	-0.792**	-0.792**	-0.792**
	(0.388)	(0.388)	(0.388)	(0.388)	(0.388)
time12_20	-0.396	-0.396	-0.396	-0.396	-0.396
	(0.400)	(0.400)	(0.400)	(0.400)	(0.400)
time12_21	-0.369	-0.369	-0.369	-0.369	-0.369
	(0.400)	(0.400)	(0.400)	(0.400)	(0.400)
time12_22	0.337	0.337	0.337	0.337	0.337
	(0.671)	(0.671)	(0.671)	(0.671)	(0.671)
time12_23	-0.696**	-0.696**	-0.696**	-0.696**	-0.696**
	(0.339)	(0.339)	(0.339)	(0.339)	(0.339)
time12_24	0.0654	0.0654	0.0654	0.0654	0.0654
	(0.361)	(0.361)	(0.361)	(0.361)	(0.361)
months_from_start		-0.0205			-0.0205
		(0.141)			(0.141)
Constant	9.784	15.32	9.784	9.784	15.32
	(8.372)	(46.41)	(8.372)	(8.372)	(46.41)
					
Observations	47,634	47,634	47,634	47,634	47,634
R-squared	0.006	0.006	0.006	0.006	0.006
Number of id_numeric	996	996	996	996	996
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
